DataStructure,Dimensions,KNeighbors,NumPoints,Time(millis),Distribution
K,1,1,200,0.029226,U
B,1,1,200,1.899138,U
K,1,1,200,0.008033,G
B,1,1,200,1.905249,G
K,1,1,200,0.011806,U
B,1,1,200,1.811414,U
K,1,1,200,0.007413,G
B,1,1,200,1.851522,G
K,1,1,200,0.008037,U
B,1,1,200,1.375252,U
K,1,1,200,0.004964,G
B,1,1,200,1.345844,G
K,1,11,200,0.048989,U
B,1,11,200,1.335138,U
K,1,11,200,0.086755,G
B,1,11,200,1.350409,G
K,1,11,200,0.047541,U
B,1,11,200,1.311497,U
K,1,11,200,0.086316,G
B,1,11,200,1.335201,G
K,1,11,200,0.048722,U
B,1,11,200,1.306985,U
K,1,11,200,0.087237,G
B,1,11,200,1.303521,G
K,1,21,200,0.053574,U
B,1,21,200,1.358684,U
K,1,21,200,0.095597,G
B,1,21,200,1.382375,G
K,1,21,200,0.054893,U
B,1,21,200,1.343730,U
K,1,21,200,0.098592,G
B,1,21,200,1.329533,G
K,1,21,200,0.055018,U
B,1,21,200,1.348385,U
K,1,21,200,0.099879,G
B,1,21,200,1.352066,G
K,1,31,200,0.046840,U
B,1,31,200,1.357972,U
K,1,31,200,0.098318,G
B,1,31,200,1.330269,G
K,1,31,200,0.041816,U
B,1,31,200,1.318613,U
K,1,31,200,0.096296,G
B,1,31,200,1.323193,G
K,1,31,200,0.042033,U
B,1,31,200,1.313800,U
K,1,31,200,0.097301,G
B,1,31,200,1.311188,G
K,1,41,200,0.047258,U
B,1,41,200,1.521538,U
K,1,41,200,0.109892,G
B,1,41,200,1.503334,G
K,1,41,200,0.046383,U
B,1,41,200,1.344873,U
K,1,41,200,0.108287,G
B,1,41,200,1.347644,G
K,1,41,200,0.050898,U
B,1,41,200,1.355777,U
K,1,41,200,0.103437,G
B,1,41,200,1.357214,G
K,1,51,200,0.057215,U
B,1,51,200,1.584752,U
K,1,51,200,0.117092,G
B,1,51,200,1.604069,G
K,1,51,200,0.047365,U
B,1,51,200,1.493418,U
K,1,51,200,0.108361,G
B,1,51,200,1.558425,G
K,1,51,200,0.043864,U
B,1,51,200,1.412415,U
K,1,51,200,0.098945,G
B,1,51,200,1.404782,G
K,1,61,200,0.046052,U
B,1,61,200,1.555259,U
K,1,61,200,0.107635,G
B,1,61,200,1.476770,G
K,1,61,200,0.037451,U
B,1,61,200,1.343621,U
K,1,61,200,0.095020,G
B,1,61,200,1.339121,G
K,1,61,200,0.038387,U
B,1,61,200,1.337868,U
K,1,61,200,0.093620,G
B,1,61,200,1.372797,G
K,1,71,200,0.048253,U
B,1,71,200,1.384400,U
K,1,71,200,0.103525,G
B,1,71,200,1.374120,G
K,1,71,200,0.060858,U
B,1,71,200,1.406154,U
K,1,71,200,0.095980,G
B,1,71,200,1.405775,G
K,1,71,200,0.046769,U
B,1,71,200,1.386167,U
K,1,71,200,0.096273,G
B,1,71,200,1.374122,G
K,1,81,200,0.052288,U
B,1,81,200,1.359352,U
K,1,81,200,0.091107,G
B,1,81,200,1.375914,G
K,1,81,200,0.052964,U
B,1,81,200,1.358766,U
K,1,81,200,0.090057,G
B,1,81,200,1.375736,G
K,1,81,200,0.052707,U
B,1,81,200,1.354916,U
K,1,81,200,0.088523,G
B,1,81,200,1.376747,G
K,1,91,200,0.057437,U
B,1,91,200,1.384505,U
K,1,91,200,0.087191,G
B,1,91,200,1.370435,G
K,1,91,200,0.055749,U
B,1,91,200,1.392299,U
K,1,91,200,0.085885,G
B,1,91,200,1.390817,G
K,1,91,200,0.057197,U
B,1,91,200,1.387164,U
K,1,91,200,0.087931,G
B,1,91,200,1.373869,G
K,1,101,200,0.056108,U
B,1,101,200,1.387457,U
K,1,101,200,0.077791,G
B,1,101,200,1.367967,G
K,1,101,200,0.056596,U
B,1,101,200,1.388434,U
K,1,101,200,0.079027,G
B,1,101,200,1.365217,G
K,1,101,200,0.057006,U
B,1,101,200,1.398691,U
K,1,101,200,0.079863,G
B,1,101,200,1.370234,G
K,1,111,200,0.075190,U
B,1,111,200,1.451932,U
K,1,111,200,0.076692,G
B,1,111,200,1.397154,G
K,1,111,200,0.073101,U
B,1,111,200,1.438760,U
K,1,111,200,0.083505,G
B,1,111,200,1.396551,G
K,1,111,200,0.074803,U
B,1,111,200,1.415310,U
K,1,111,200,0.077547,G
B,1,111,200,1.388250,G
K,1,121,200,0.080550,U
B,1,121,200,1.438306,U
K,1,121,200,0.073588,G
B,1,121,200,1.388071,G
K,1,121,200,0.088395,U
B,1,121,200,1.603093,U
K,1,121,200,0.080532,G
B,1,121,200,1.415798,G
K,1,121,200,0.084651,U
B,1,121,200,1.411036,U
K,1,121,200,0.074576,G
B,1,121,200,1.389791,G
K,1,1,400,0.007249,U
B,1,1,400,2.373647,U
K,1,1,400,0.004630,G
B,1,1,400,2.415056,G
K,1,1,400,0.005248,U
B,1,1,400,2.369663,U
K,1,1,400,0.004461,G
B,1,1,400,2.386589,G
K,1,1,400,0.004786,U
B,1,1,400,2.353494,U
K,1,1,400,0.004370,G
B,1,1,400,2.386755,G
K,1,11,400,0.327414,U
B,1,11,400,2.484392,U
K,1,11,400,0.099158,G
B,1,11,400,2.473874,G
K,1,11,400,0.324491,U
B,1,11,400,2.534686,U
K,1,11,400,0.097524,G
B,1,11,400,2.519752,G
K,1,11,400,0.323893,U
B,1,11,400,2.507096,U
K,1,11,400,0.097492,G
B,1,11,400,2.506589,G
K,1,21,400,0.362769,U
B,1,21,400,2.489687,U
K,1,21,400,0.113840,G
B,1,21,400,2.498126,G
K,1,21,400,0.369998,U
B,1,21,400,2.528386,U
K,1,21,400,0.118277,G
B,1,21,400,2.579726,G
K,1,21,400,0.358844,U
B,1,21,400,2.508772,U
K,1,21,400,0.114255,G
B,1,21,400,2.506909,G
K,1,31,400,0.373493,U
B,1,31,400,2.533946,U
K,1,31,400,0.118471,G
B,1,31,400,2.546763,G
K,1,31,400,0.371747,U
B,1,31,400,2.531749,U
K,1,31,400,0.119588,G
B,1,31,400,2.502760,G
K,1,31,400,0.373902,U
B,1,31,400,2.530011,U
K,1,31,400,0.118018,G
B,1,31,400,2.488009,G
K,1,41,400,0.391149,U
B,1,41,400,2.537070,U
K,1,41,400,0.120249,G
B,1,41,400,2.531945,G
K,1,41,400,0.391622,U
B,1,41,400,2.532216,U
K,1,41,400,0.120977,G
B,1,41,400,2.539056,G
K,1,41,400,0.390774,U
B,1,41,400,2.546135,U
K,1,41,400,0.120322,G
B,1,41,400,2.528223,G
K,1,51,400,0.405815,U
B,1,51,400,2.531806,U
K,1,51,400,0.118584,G
B,1,51,400,2.538125,G
K,1,51,400,0.406810,U
B,1,51,400,2.528369,U
K,1,51,400,0.119787,G
B,1,51,400,2.531195,G
K,1,51,400,0.404641,U
B,1,51,400,2.529368,U
K,1,51,400,0.119726,G
B,1,51,400,2.551855,G
K,1,61,400,0.420707,U
B,1,61,400,2.521210,U
K,1,61,400,0.123413,G
B,1,61,400,2.537285,G
K,1,61,400,0.416281,U
B,1,61,400,2.545067,U
K,1,61,400,0.118949,G
