DataStructure,Dimensions,KNeighbors,NumPoints,Time(millis),Distribution
K,2,1,200,0.016334,U
B,2,1,200,0.037103,U
K,2,1,200,0.016448,G
B,2,1,200,0.052430,G
Q,2,1,200,0.008348,U
Q,2,1,200,0.008053,G
K,2,1,200,0.011539,U
B,2,1,200,0.032481,U
K,2,1,200,0.014733,G
B,2,1,200,0.043927,G
Q,2,1,200,0.003779,U
Q,2,1,200,0.005942,G
K,2,1,200,0.011494,U
B,2,1,200,0.033368,U
K,2,1,200,0.014730,G
B,2,1,200,0.044888,G
Q,2,1,200,0.003758,U
Q,2,1,200,0.005876,G
K,2,17,200,0.097380,U
B,2,17,200,0.040034,U
K,2,17,200,0.148952,G
B,2,17,200,0.040953,G
Q,2,17,200,0.027108,U
Q,2,17,200,0.039567,G
K,2,17,200,0.107502,U
B,2,17,200,0.041545,U
K,2,17,200,0.151588,G
B,2,17,200,0.046609,G
Q,2,17,200,0.026537,U
Q,2,17,200,0.042385,G
K,2,17,200,0.097498,U
B,2,17,200,0.042534,U
K,2,17,200,0.146877,G
B,2,17,200,0.044184,G
Q,2,17,200,0.027305,U
Q,2,17,200,0.040695,G
K,2,33,200,0.134673,U
B,2,33,200,0.039498,U
K,2,33,200,0.181688,G
B,2,33,200,0.036501,G
Q,2,33,200,0.043218,U
Q,2,33,200,0.077157,G
K,2,33,200,0.132586,U
B,2,33,200,0.040479,U
K,2,33,200,0.180727,G
B,2,33,200,0.032776,G
Q,2,33,200,0.042170,U
Q,2,33,200,0.077801,G
K,2,33,200,0.124012,U
B,2,33,200,0.035538,U
K,2,33,200,0.173644,G
B,2,33,200,0.033217,G
Q,2,33,200,0.042728,U
Q,2,33,200,0.075502,G
K,2,49,200,0.124820,U
B,2,49,200,0.028258,U
K,2,49,200,0.183164,G
B,2,49,200,0.044350,G
Q,2,49,200,0.043866,U
Q,2,49,200,0.073283,G
K,2,49,200,0.126133,U
B,2,49,200,0.024288,U
K,2,49,200,0.177847,G
B,2,49,200,0.041953,G
Q,2,49,200,0.041809,U
Q,2,49,200,0.075445,G
K,2,49,200,0.125393,U
B,2,49,200,0.023854,U
K,2,49,200,0.168594,G
B,2,49,200,0.043225,G
Q,2,49,200,0.046336,U
Q,2,49,200,0.074008,G
K,2,65,200,0.133237,U
B,2,65,200,0.075250,U
K,2,65,200,0.186201,G
B,2,65,200,0.046418,G
Q,2,65,200,0.075629,U
Q,2,65,200,0.077238,G
K,2,65,200,0.134959,U
B,2,65,200,0.075333,U
K,2,65,200,0.186088,G
B,2,65,200,0.046311,G
Q,2,65,200,0.075277,U
Q,2,65,200,0.075368,G
K,2,65,200,0.130523,U
B,2,65,200,0.074455,U
K,2,65,200,0.187771,G
B,2,65,200,0.045534,G
Q,2,65,200,0.076605,U
Q,2,65,200,0.074970,G
K,2,81,200,0.119685,U
B,2,81,200,0.076908,U
K,2,81,200,0.204047,G
B,2,81,200,0.116318,G
Q,2,81,200,0.116664,U
Q,2,81,200,0.073632,G
K,2,81,200,0.119519,U
B,2,81,200,0.075278,U
K,2,81,200,0.205849,G
B,2,81,200,0.112715,G
Q,2,81,200,0.112747,U
Q,2,81,200,0.076761,G
K,2,81,200,0.117648,U
B,2,81,200,0.074346,U
K,2,81,200,0.205385,G
B,2,81,200,0.115664,G
Q,2,81,200,0.110680,U
Q,2,81,200,0.074617,G
K,2,97,200,0.129584,U
B,2,97,200,0.098120,U
K,2,97,200,0.219347,G
B,2,97,200,0.118663,G
Q,2,97,200,0.128705,U
Q,2,97,200,0.086821,G
K,2,97,200,0.128369,U
B,2,97,200,0.097508,U
K,2,97,200,0.218851,G
B,2,97,200,0.117116,G
Q,2,97,200,0.130545,U
Q,2,97,200,0.085385,G
K,2,97,200,0.128299,U
B,2,97,200,0.097216,U
K,2,97,200,0.219065,G
B,2,97,200,0.120059,G
Q,2,97,200,0.128918,U
Q,2,97,200,0.085647,G
K,2,113,200,0.166473,U
B,2,113,200,0.095481,U
K,2,113,200,0.221011,G
B,2,113,200,0.098288,G
Q,2,113,200,0.121040,U
Q,2,113,200,0.096629,G
K,2,113,200,0.167294,U
B,2,113,200,0.096030,U
K,2,113,200,0.221320,G
B,2,113,200,0.099403,G
Q,2,113,200,0.119851,U
Q,2,113,200,0.097594,G
K,2,113,200,0.163598,U
B,2,113,200,0.097851,U
K,2,113,200,0.222789,G
B,2,113,200,0.100029,G
Q,2,113,200,0.120023,U
Q,2,113,200,0.097812,G
K,2,129,200,0.196070,U
B,2,129,200,0.097078,U
K,2,129,200,0.217498,G
B,2,129,200,0.091260,G
Q,2,129,200,0.131854,U
Q,2,129,200,0.121424,G
K,2,129,200,0.197260,U
B,2,129,200,0.096308,U
K,2,129,200,0.218865,G
B,2,129,200,0.089810,G
Q,2,129,200,0.130778,U
Q,2,129,200,0.120830,G
K,2,129,200,0.194477,U
B,2,129,200,0.095129,U
K,2,129,200,0.218121,G
B,2,129,200,0.091847,G
Q,2,129,200,0.131874,U
Q,2,129,200,0.121502,G
K,2,145,200,0.197602,U
B,2,145,200,0.085898,U
K,2,145,200,0.198656,G
B,2,145,200,0.102085,G
Q,2,145,200,0.134911,U
Q,2,145,200,0.150562,G
K,2,145,200,0.209255,U
B,2,145,200,0.090688,U
K,2,145,200,0.204225,G
B,2,145,200,0.110381,G
Q,2,145,200,0.142799,U
Q,2,145,200,0.159397,G
K,2,145,200,0.203138,U
B,2,145,200,0.083919,U
K,2,145,200,0.200842,G
B,2,145,200,0.105612,G
Q,2,145,200,0.136069,U
Q,2,145,200,0.149976,G
K,2,161,200,0.184458,U
B,2,161,200,0.119832,U
K,2,161,200,0.168989,G
B,2,161,200,0.100298,G
Q,2,161,200,0.129727,U
Q,2,161,200,0.144840,G
K,2,161,200,0.237867,U
B,2,161,200,0.158350,U
K,2,161,200,0.229490,G
B,2,161,200,0.127386,G
Q,2,161,200,0.173922,U
Q,2,161,200,0.186081,G
K,2,161,200,0.227368,U
B,2,161,200,0.150855,U
K,2,161,200,0.210254,G
B,2,161,200,0.121112,G
Q,2,161,200,0.161042,U
Q,2,161,200,0.176952,G
K,2,177,200,0.157853,U
B,2,177,200,0.136685,U
K,2,177,200,0.145379,G
B,2,177,200,0.080993,G
Q,2,177,200,0.133531,U
Q,2,177,200,0.138160,G
K,2,177,200,0.154391,U
B,2,177,200,0.125375,U
K,2,177,200,0.143007,G
B,2,177,200,0.076589,G
Q,2,177,200,0.130657,U
Q,2,177,200,0.139433,G
K,2,177,200,0.156646,U
B,2,177,200,0.152944,U
K,2,177,200,0.155283,G
B,2,177,200,0.088727,G
Q,2,177,200,0.144558,U
Q,2,177,200,0.142828,G
K,2,193,200,0.155107,U
B,2,193,200,0.158250,U
K,2,193,200,0.139389,G
B,2,193,200,0.085794,G
Q,2,193,200,0.179113,U
Q,2,193,200,0.147020,G
K,2,193,200,0.132147,U
B,2,193,200,0.129237,U
K,2,193,200,0.111594,G
B,2,193,200,0.079306,G
Q,2,193,200,0.146150,U
Q,2,193,200,0.131967,G
K,2,193,200,0.128279,U
B,2,193,200,0.125074,U
K,2,193,200,0.115302,G
B,2,193,200,0.079726,G
Q,2,193,200,0.144100,U
Q,2,193,200,0.128441,G
K,2,1,400,0.032358,U
B,2,1,400,0.048590,U
K,2,1,400,0.025245,G
B,2,1,400,0.034813,G
Q,2,1,400,0.017907,U
Q,2,1,400,0.027303,G
K,2,1,400,0.031268,U
B,2,1,400,0.043931,U
K,2,1,400,0.025045,G
B,2,1,400,0.037209,G
Q,2,1,400,0.017492,U
Q,2,1,400,0.023361,G
K,2,1,400,0.031214,U
B,2,1,400,0.045721,U
K,2,1,400,0.025220,G
B,2,1,400,0.037999,G
Q,2,1,400,0.017754,U
Q,2,1,400,0.023352,G
K,2,33,400,0.491649,U
B,2,33,400,0.056201,U
K,2,33,400,0.332016,G
B,2,33,400,0.038697,G
Q,2,33,400,0.205431,U
Q,2,33,400,0.350155,G
K,2,33,400,0.499935,U
B,2,33,400,0.060895,U
K,2,33,400,0.334566,G
B,2,33,400,0.039115,G
Q,2,33,400,0.207836,U
Q,2,33,400,0.346486,G
K,2,33,400,0.486671,U
B,2,33,400,0.059157,U
K,2,33,400,0.330447,G
B,2,33,400,0.037916,G
Q,2,33,400,0.205402,U
Q,2,33,400,0.344560,G
K,2,65,400,0.596449,U
B,2,65,400,0.041503,U
K,2,65,400,0.383043,G
B,2,65,400,0.100338,G
Q,2,65,400,0.268696,U
Q,2,65,400,0.413181,G
K,2,65,400,0.710887,U
B,2,65,400,0.060905,U
K,2,65,400,0.457536,G
B,2,65,400,0.126408,G
Q,2,65,400,0.308627,U
Q,2,65,400,0.448036,G
K,2,65,400,0.628478,U
B,2,65,400,0.048920,U
K,2,65,400,0.418345,G
B,2,65,400,0.114321,G
Q,2,65,400,0.273514,U
Q,2,65,400,0.422396,G
K,2,97,400,0.617214,U
B,2,97,400,0.102139,U
K,2,97,400,0.451447,G
B,2,97,400,0.101193,G
Q,2,97,400,0.273760,U
Q,2,97,400,0.444067,G
K,2,97,400,0.610355,U
B,2,97,400,0.102100,U
K,2,97,400,0.451758,G
B,2,97,400,0.088832,G
Q,2,97,400,0.275992,U
Q,2,97,400,0.445103,G
K,2,97,400,0.610954,U
B,2,97,400,0.101415,U
K,2,97,400,0.449964,G
B,2,97,400,0.089111,G
Q,2,97,400,0.271894,U
Q,2,97,400,0.447805,G
K,2,129,400,0.619595,U
B,2,129,400,0.112028,U
K,2,129,400,0.549731,G
B,2,129,400,0.104857,G
Q,2,129,400,0.270030,U
Q,2,129,400,0.464925,G
K,2,129,400,0.717913,U
B,2,129,400,0.124315,U
K,2,129,400,0.578667,G
B,2,129,400,0.115659,G
Q,2,129,400,0.326084,U
Q,2,129,400,0.472433,G
K,2,129,400,0.652163,U
B,2,129,400,0.115010,U
K,2,129,400,0.546809,G
B,2,129,400,0.105034,G
Q,2,129,400,0.275057,U
Q,2,129,400,0.465999,G
K,2,161,400,0.592883,U
B,2,161,400,0.092769,U
K,2,161,400,0.558386,G
B,2,161,400,0.217680,G
Q,2,161,400,0.273711,U
Q,2,161,400,0.470513,G
K,2,161,400,0.591364,U
B,2,161,400,0.090045,U
K,2,161,400,0.560126,G
B,2,161,400,0.218802,G
Q,2,161,400,0.270208,U
Q,2,161,400,0.460915,G
K,2,161,400,0.611602,U
B,2,161,400,0.096112,U
K,2,161,400,0.563173,G
B,2,161,400,0.231475,G
Q,2,161,400,0.292616,U
Q,2,161,400,0.515432,G
K,2,193,400,0.593482,U
B,2,193,400,0.182740,U
K,2,193,400,0.563776,G
B,2,193,400,0.178026,G
Q,2,193,400,0.258641,U
Q,2,193,400,0.444411,G
K,2,193,400,0.551556,U
B,2,193,400,0.183716,U
K,2,193,400,0.543150,G
B,2,193,400,0.172283,G
Q,2,193,400,0.253709,U
Q,2,193,400,0.437782,G
K,2,193,400,0.563370,U
B,2,193,400,0.182868,U
K,2,193,400,0.547450,G
B,2,193,400,0.179219,G
Q,2,193,400,0.265119,U
Q,2,193,400,0.452850,G
K,2,225,400,0.500314,U
B,2,225,400,0.179972,U
K,2,225,400,0.514094,G
B,2,225,400,0.169497,G
Q,2,225,400,0.297564,U
Q,2,225,400,0.415075,G
K,2,225,400,0.492426,U
B,2,225,400,0.178311,U
K,2,225,400,0.514416,G
B,2,225,400,0.170046,G
Q,2,225,400,0.296716,U
Q,2,225,400,0.413183,G
